Site_ID *,Site_Name,"""Other_Name""",Last_Updt,Commodity,MinReg_ID,Remarks,Approx_Lon,Approx_Lat,Loc_Pt,Loc_Poly,GeolMinOcc,Resources,Production,History,Dep_Model,Descr_Sum
MN00008,Tamarack,"""Tamarack North; Tamarack South""",2018-04-16, gold,<Null>,<Null>,-93.116,46.685,Yes,No,Yes,Yes,No,Yes,Yes,Yes
MO00001,Fredericktown District,"""<Null>""",2018-05-10,lead,Mr00036,<Null>,-90.217,37.573,Yes,Yes,No,No,No,No,No,No
MO00001,Fredericktown District,"""<Null>""",2018-05-10, copper,Mr00036,<Null>,-90.217,37.573,Yes,Yes,No,No,No,No,No,No
MO00001,Fredericktown District,"""<Null>""",2018-05-10, nickel cobalt,Mr00036,<Null>,-90.217,37.573,Yes,Yes,No,No,No,No,No,No
MO00001,Fredericktown District,"""<Null>""",2018-05-10, iron,Mr00036,<Null>,-90.217,37.573,Yes,Yes,No,No,No,No,No,No
MO00001,Fredericktown District,"""<Null>""",2018-05-10, silver,Mr00036,<Null>,-90.217,37.573,Yes,Yes,No,No,No,No,No,No
MO00002,Higdon,"""<Null>""",2018-06-21,cobalt,Mr00036,<Null>,-90.142,37.608,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MO00002,Higdon,"""<Null>""",2018-06-21, nickel,Mr00036,<Null>,-90.142,37.608,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MO00002,Higdon,"""<Null>""",2018-06-21, copper,Mr00036,<Null>,-90.142,37.608,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MO00002,Higdon,"""<Null>""",2018-06-21, zinc,Mr00036,<Null>,-90.142,37.608,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MO00002,Higdon,"""<Null>""",2018-06-21, lead,Mr00036,<Null>,-90.142,37.608,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MO00013,Madison,"""Fredericktown""",2018-05-08,lead,Mr00036,<Null>,-90.276,37.546,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
MO00013,Madison,"""Fredericktown""",2018-05-08, copper,Mr00036,<Null>,-90.276,37.546,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
MO00013,Madison,"""Fredericktown""",2018-05-08, nickel cobalt,Mr00036,<Null>,-90.276,37.546,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
MO00013,Madison,"""Fredericktown""",2018-05-08, iron,Mr00036,<Null>,-90.276,37.546,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
MO00013,Madison,"""Fredericktown""",2018-05-08, silver,Mr00036,<Null>,-90.276,37.546,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
MO00014,Boss-Bixby,"""<Null>""",2018-05-10,copper,<Null>,<Null>,-91.17,37.666,Yes,No,Yes,Yes,No,Yes,Yes,Yes
